Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,1,a,35.316667,24,1,,,31.57476272,1.499447977,9,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,1,a,35.316667,27,1,2,b,28.89663908,1.355596133,8,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,2,b,24.483333,16,1,1,a,65.66118638,2.701020262,10,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,2,b,24.483333,20,1,,,39.6597999,1.709019411,8,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,2,b,24.483333,24,1,,,31.42276388,1.77606507,6,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",developmental rate,Counter,2,b,24.483333,27,1,2,b,29.82814546,0.9282833016,6,
DiMichele and Westerman 1997,Geographic variation in development rate between populations of the teleost Fundulus heteroclitus,developmental rate,Counter,1,a,41.526389,20,1,1,a,10.5,1,50,
DiMichele and Westerman 1997,Geographic variation in development rate between populations of the teleost Fundulus heteroclitus,developmental rate,Counter,1,a,41.526389,25,1,2,b,9.1,1,50,
DiMichele and Westerman 1997,Geographic variation in development rate between populations of the teleost Fundulus heteroclitus,developmental rate,Counter,2,b,29.668611,20,1,1,a,20.2,6,50,
DiMichele and Westerman 1997,Geographic variation in development rate between populations of the teleost Fundulus heteroclitus,developmental rate,Counter,2,b,29.668611,25,1,2,b,16.3,3,50,
Purchase and Brown 2001,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",growth rate,Counter,1,a,46,13,1,2,b,2.061264322,0.3355010671,30,
Purchase and Brown 2001,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",growth rate,Counter,1,a,46,2,1,1,a,0.6413662533,0.07276351762,30,
Purchase and Brown 2001,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",growth rate,Counter,2,b,42,13,1,2,b,1.973370749,0.4378317788,30,
Purchase and Brown 2001,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",growth rate,Counter,2,b,42,2,1,1,a,0.5055035863,0.393673399,30,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,1,a,,17,1,1,a,0.2793880837,0.1091678094,40,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,1,a,,28,1,2,b,0.3584080975,0.08204072951,69,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,2,b,,17,1,1,a,0.2613679933,0.06202826666,40,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,2,b,,28,1,2,b,0.3181887892,0.0816585522,69,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,1,a,,Captive,1,,,416,4,519,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,1,a,,Glen,1,1,a,625,6,136,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,1,a,,Silver,1,2,b,710,13,41,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,2,b,,Captive,1,,,392,5,488,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,2,b,,Glen,1,1,a,610,15,18,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,ovarian mass,Counter,2,b,,Silver,1,2,b,698,12,38,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,2,b,44.81502,South,1,2,b,20.93944535,16.07240497,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,2,b,44.81502,North,1,1,a,35.25287242,15.21962293,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,1,a,42.563526,South,1,2,b,18.97460048,15.21237549,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,1,a,42.563526,North,1,1,a,25.21033197,16.07965241,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,2,b,44.81502,South,1,2,b,2.558707461,0.9471450416,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,2,b,44.81502,North,1,1,a,2.795154053,0.4881247932,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,1,a,42.563526,South,1,2,b,2.080929683,0.7163875798,60,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",body growth,Co,1,a,42.563526,North,1,1,a,2.265524423,0.4294999245,60,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gape width,Co,1,a,,Worm,1,2,b,3.425773677,0.3167796726,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gape width,Co,1,a,,Plankton,1,1,a,3.383112283,0.2472232584,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gape width,Co,2,b,,Worm,1,2,b,3.043161161,0.3360760934,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gape width,Co,2,b,,Plankton,1,1,a,2.838707197,0.2936200851,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gill raker length,Co,1,a,,Worm,1,2,b,0.7575451331,0.07659963063,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gill raker length,Co,1,a,,Plankton,1,1,a,0.7942586277,0.07823093954,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gill raker length,Co,2,b,,Worm,1,2,b,1.070664247,0.09240950241,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,gill raker length,Co,2,b,,Plankton,1,1,a,1.201135759,0.1068203194,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,head depth,Co,1,a,,Worm,1,2,b,8.750877047,0.2480882672,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,head depth,Co,1,a,,Plankton,1,1,a,8.677205116,0.2226829682,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,head depth,Co,2,b,,Worm,1,2,b,8.473938586,0.2799663945,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,head depth,Co,2,b,,Plankton,1,1,a,8.268272155,0.2035737651,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,snout length,Co,1,a,,Worm,1,2,b,3.240962083,0.1674985636,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,snout length,Co,1,a,,Plankton,1,1,a,3.326059437,0.1478098967,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,snout length,Co,2,b,,Worm,1,2,b,3.795855085,0.2266497966,12,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,snout length,Co,2,b,,Plankton,1,1,a,3.903251552,0.1699617777,12,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,1,a,,low,1,1,a,0.01774308603,0.004781202163,7,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,1,a,,high,1,2,b,0.03211955302,0.004438310032,7,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,2,b,,low,1,1,a,0.009889427493,0.002902796204,7,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,2,b,,high,1,2,b,0.02375369936,0.004098632514,7,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,1,a,,low,2,1,a,0.02042641947,0.004569317519,15,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,1,a,,high,2,2,b,0.03397979705,0.00554110596,15,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,2,b,,low,2,1,a,0.01702373621,0.004958602382,15,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,growth rate,Co,2,b,,high,2,2,b,0.02834106479,0.004763756562,15,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,1,a,,early ,1,2,b,0.7073979018,0.7746197615,160,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,1,a,,average,1,,,0.9505549749,0.5732253172,160,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,1,a,,late,1,1,a,1.221130059,0.1573001892,160,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,2,b,,early ,1,2,b,0.4636521187,1.499204676,160,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,2,b,,average,1,,,0.681468203,1.385998742,160,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,diapause percentage,Co,2,b,,late,1,1,a,1.220931617,0.1293124694,160,
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,growth rate,Co,1,a,100,10,1,1,a,0.05779435985,0.008929568471,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,growth rate,Co,1,a,100,16,1,2,b,0.04304594804,0.02174094498,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,growth rate,Co,2,b,1025,10,1,1,a,0.05426708346,0.0212875793,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,growth rate,Co,2,b,1025,16,1,2,b,0.03923363921,0.03363908249,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,mass,Co,2,b,1025,10,1,1,a,5.529350821,0.2278066319,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,mass,Co,2,b,1025,16,1,2,b,5.394822944,0.1982495629,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,mass,Co,1,a,100,10,1,1,a,5.363458299,0.2277812283,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,mass,Co,1,a,100,16,1,2,b,5.200675474,0.2358722696,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,developmental rate,Co,2,b,1025,10,1,1,a,3.528172285,0.08308241869,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,developmental rate,Co,2,b,1025,16,1,2,b,3.17439105,0.1527390437,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,developmental rate,Co,1,a,100,10,1,1,a,3.440352852,0.1474296948,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,developmental rate,Co,1,a,100,16,1,1,a,3.149678796,0.2358214624,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,1,a,46.5,18:13,1,1,a,0,0,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,2,b,60,18:13,1,1,a,0,0,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,1,a,46.5,18:13,2,1,a,18.53825935,42.05607477,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,2,b,60,18:13,2,1,b,0,0,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,1,a,46.5,25:18,1,2,b,46.24407583,51.18483412,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,2,b,60,25:18,1,2,b,0,0,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,1,a,46.5,25:18,2,2,b,23.86974299,44.85981308,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",diapause rate,Co,2,b,60,25:18,2,2,b,0,0,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,1,a,46.5,18:13,1,1,a,4.814633375,1.061946903,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,2,b,60,18:13,1,1,a,7.847819216,2.124841972,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,1,a,46.5,25:18:00,1,2,b,5.829329962,1.85840708,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,2,b,60,25:18:00,1,2,b,9.659134008,1.592920354,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,1,a,46.5,18:13,2,1,a,4.359676908,1.33037694,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,2,b,60,18:13,2,1,a,6.734558125,3.191954387,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,1,a,46.5,25:18:00,2,2,b,5.465315173,1.596452328,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",mass,Counter,2,b,60,25:18:00,2,2,b,7.884542287,2.127652835,36,"different experiments refer to different light exposures 14:10 and 16:8, n of 36 is an approximation of samples that ran from 32-40, only used high quality food treatments (M. exasperata)"
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,1,a,54.68,17,1,3,b,0.06017857143,0.002783391457,21,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,1,a,54.68,15,1,,,0.05095238095,0.002365882739,21,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,1,a,54.68,13,1,,,0.03994047619,0.002505052311,21,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,1,a,54.68,11,1,1,a,0.02714285714,0.001809204447,21,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,2,,59.3,17,1,3,b,0.05595238095,0.002551020408,36,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,2,,59.3,15,1,,,0.05005952381,0.002551020408,36,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,2,,59.3,13,1,,,0.03672619048,0.003279883382,36,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,2,,59.3,11,1,1,a,0.02648809524,0.003279883382,36,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,3,b,63.03,17,1,3,b,0.05226190476,0.00395127696,32,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,3,b,63.03,15,1,,,0.04928571429,0.003607687659,32,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,3,b,63.03,13,1,,,0.03738095238,0.003092303708,32,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,development rate,Co,3,b,63.03,11,1,1,a,0.02547619048,0.003092303708,32,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,5,b,,16,1,1,a,48.48593852,2.491142283,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,4,,,16,1,1,a,50.94833224,2.819556538,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,3,,,16,1,1,a,62.32831916,3.700667957,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,2,,,16,1,1,a,47.90058862,2.811546435,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,1,a,,16,1,1,a,50.95487247,4.061122628,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,5,b,,19,1,5,b,33.95356442,1.586000553,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,4,,,19,1,5,b,36.33747547,2.298899791,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,3,,,19,1,5,b,43.70176586,2.643334255,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,2,,,19,1,5,b,41.6383257,2.122677508,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,development rate,Counter,1,a,,19,1,5,b,43.11968607,2.979758615,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,5,b,,16,1,1,a,0.5518222768,0.03721378766,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,4,,,16,1,1,a,0.6119328419,0.03693292888,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,3,,,16,1,1,a,0.4716175266,0.0434628954,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,2,,,16,1,1,a,0.3667035217,0.02934974196,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,1,a,,16,1,1,a,0.3684234234,0.05589089618,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,5,b,,19,1,5,b,0.4919410319,0.0356690644,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,4,,,19,1,5,b,0.5432227682,0.03721378766,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,3,,,19,1,5,b,0.3556101556,0.02934974196,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,2,,,19,1,5,b,0.3762489762,0.02899866849,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,mass,Co,1,a,,19,1,5,b,0.3791441441,0.04936092967,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,5,b,,16,1,1,a,0.01224412297,0.001025419305,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,4,,,16,1,1,a,0.0126880651,0.0008305231949,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,3,,,16,1,1,a,0.00794755877,0.0007308604115,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,2,,,16,1,1,a,0.007944846293,0.0006821363841,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,1,a,,16,1,1,a,0.007384267631,0.001315548741,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,5,b,,19,1,5,b,0.01568535262,0.001218100686,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,4,,,19,1,5,b,0.01620886076,0.001512659579,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,3,,,19,1,5,b,0.008544303797,0.000728645683,6,
